tau_drug,tau_kraken,accuracy,macro_f1,kraken_sens,kraken_spec,none_sens,none_spec,triton_sens,triton_spec,coral_sens,coral_spec
0.05,0.37,0.30268199233716475,0.2820896431270189,0.7241379310344828,0.41379310344827586,0.0,1.0,0.39215686274509803,0.8714285714285714,0.3541666666666667,0.8309859154929577
0.05,0.39,0.3065134099616858,0.28561096400902225,0.7241379310344828,0.42857142857142855,0.0,1.0,0.39215686274509803,0.8666666666666667,0.375,0.8262910798122066
0.05,0.41,0.2988505747126437,0.2799964054636952,0.6896551724137931,0.42857142857142855,0.0,1.0,0.39215686274509803,0.861904761904762,0.375,0.8215962441314554
0.05,0.43,0.3065134099616858,0.2876171389068731,0.6896551724137931,0.45320197044334976,0.0,1.0,0.4117647058823529,0.861904761904762,0.3958333333333333,0.8075117370892019
0.05,0.45,0.31417624521072796,0.29526618302370133,0.6896551724137931,0.4729064039408867,0.0,1.0,0.43137254901960786,0.8571428571428571,0.4166666666666667,0.8028169014084507
0.05,0.47,0.31800766283524906,0.2985914579059541,0.6724137931034483,0.5073891625615764,0.0,1.0,0.47058823529411764,0.8428571428571429,0.4166666666666667,0.7887323943661971
0.05,0.49,0.31417624521072796,0.29320555134072035,0.6551724137931034,0.5467980295566502,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4166666666666667,0.7605633802816901
0.05,0.51,0.3218390804597701,0.3019429397668425,0.6379310344827587,0.5665024630541872,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4791666666666667,0.7511737089201878
0.05,0.53,0.31417624521072796,0.2956040669856459,0.5862068965517241,0.5862068965517241,0.0,1.0,0.47058823529411764,0.8142857142857143,0.5,0.7370892018779343
0.05,0.55,0.31417624521072796,0.29406206982855715,0.5689655172413793,0.6354679802955665,0.0,1.0,0.49019607843137253,0.780952380952381,0.5,0.7230046948356808
0.05,0.57,0.2988505747126437,0.2806268816695827,0.5,0.645320197044335,0.0,1.0,0.49019607843137253,0.7619047619047619,0.5,0.7136150234741784
0.05,0.59,0.2950191570881226,0.2767857142857143,0.46551724137931033,0.6699507389162561,0.0,1.0,0.5098039215686274,0.7333333333333333,0.5,0.7136150234741784
0.05,0.61,0.28735632183908044,0.2692873073803731,0.43103448275862066,0.6995073891625616,0.0,1.0,0.5098039215686274,0.7142857142857143,0.5,0.6948356807511737
0.05,0.63,0.29118773946360155,0.27280950447782387,0.43103448275862066,0.7142857142857143,0.0,1.0,0.5294117647058824,0.7142857142857143,0.5,0.6854460093896714
